Index,Model,Percentile,CVE_MUN,Scenario,TimeAggregate,Year
1,1,90,17001,1,1,2003
1,1,90,17002,1,1,2005
1,1,90,17003,1,1,2006
1,1,90,17004,1,1,2013
1,1,90,17005,1,1,2016
1,1,90,17006,1,1,2018
1,1,90,17007,1,1,2021
1,1,90,17008,1,1,2026
1,1,90,17009,1,1,2028
1,1,90,17010,1,1,2031
1,1,90,17011,1,1,2034
1,1,90,17012,1,1,2039
1,1,90,17013,1,1,2043
1,1,90,17014,1,1,2044
1,1,90,17015,1,1,2045
1,1,90,17016,1,1,2049
1,1,90,17017,1,1,2051
1,1,90,17018,1,1,2052
1,1,90,17019,1,1,2054
1,1,90,17020,1,1,2056
1,1,90,17021,1,1,2057
1,1,90,17022,1,1,2059
1,1,90,17023,1,1,2060
1,1,90,17024,1,1,2061
1,1,90,17025,1,1,2062
1,1,90,17026,1,1,2064
1,1,90,17027,1,1,2065
1,1,90,17028,1,1,2069
1,1,90,17029,1,1,2070
1,1,90,17030,1,1,2071
1,1,90,17031,1,1,2073
1,1,90,17032,1,1,2074
1,1,90,17033,1,1,2076
1,1,90,18001,1,1,2077
1,1,90,18002,1,1,2078
1,1,90,18003,1,1,2079
1,1,90,18004,1,1,2080
1,1,90,18005,1,1,2081
1,1,90,18006,1,1,2082
1,1,90,18007,1,1,2083
1,1,90,18008,1,1,2084
1,1,90,18009,1,1,2085
1,1,90,18010,1,1,2086
1,1,90,18011,1,1,2087
1,1,90,18012,1,1,2089
1,1,90,18013,1,1,2090
1,1,90,18014,1,1,2091
1,1,90,18015,1,1,2092
1,1,90,18016,1,1,2093
1,1,90,18017,1,1,2094
1,1,90,18018,1,1,2095
1,1,90,18019,1,1,2096
1,1,90,18020,1,1,2097
1,1,90,19001,1,1,2098
1,1,90,19002,1,1,2099
1,1,90,19003,1,1,2100
1,1,10,19004,1,1,1974
1,1,10,19005,1,1,1981
1,1,10,19006,1,1,2009
1,1,10,19007,1,1,2023
1,1,10,19008,1,1,2025
1,1,10,19009,1,1,2029
1,1,90,19010,1,1,1980
1,1,90,19011,1,1,1992
1,1,90,19012,1,1,1994
1,1,90,19013,1,1,2003
1,1,90,19014,1,1,2005
1,1,90,19015,1,1,2006
1,1,90,19016,1,1,2013
1,1,90,19017,1,1,2015
1,1,90,19018,1,1,2018
1,1,90,19019,1,1,2020
1,1,90,19020,1,1,2026
1,1,90,19021,1,1,2031
1,1,90,19022,1,1,2034
1,1,90,19023,1,1,2037
1,1,90,19024,1,1,2038
1,1,90,19025,1,1,2039
1,1,90,19026,1,1,2044
1,1,90,19027,1,1,2045
1,1,90,19028,1,1,2051
1,1,90,19029,1,1,2052
1,1,90,19030,1,1,2054
1,1,90,19031,1,1,2057
1,1,90,19032,1,1,2059
1,1,90,19033,1,1,2060
1,1,90,19034,1,1,2061
1,1,90,19035,1,1,2062
1,1,90,19036,1,1,2064
1,1,90,19037,1,1,2065
1,1,90,19038,1,1,2067
1,1,90,19039,1,1,2070
1,1,90,19040,1,1,2073
1,1,90,19041,1,1,2074
1,1,90,19042,1,1,2076
1,1,90,19043,1,1,2077
1,1,90,19044,1,1,2078
1,1,90,19045,1,1,2079
1,1,90,19046,1,1,2081
1,1,90,19047,1,1,2082
1,1,90,19048,1,1,2083
1,1,90,19049,1,1,2084
1,1,90,19050,1,1,2085
1,1,90,19051,1,1,2086
1,1,90,20001,1,1,2087
1,1,90,20002,1,1,2089
1,1,90,20003,1,1,2090
